MAC,Timestamp,Signal Quality,Channel Frequency
48:d6:d5:32:07:c0,1677679373.1235383,100,2452
48:d6:d5:32:07:c0,1677679373.1246653,86,2452
48:d6:d5:32:07:c0,1677679373.2209454,100,2457
50:50:a4:11:14:18,1677679387.5954914,77,2412
50:50:a4:11:14:18,1677679387.7063842,77,2412
50:50:a4:11:14:18,1677679387.8288383,68,2412
5a:73:b6:24:a5:ab,1677679394.3133473,77,2412
50:50:a4:11:14:18,1677679396.4703972,86,2412
da:02:19:73:54:61,1677679402.6456273,100,2412
ee:0f:2c:b1:79:4e,1677679402.6988354,54,2412
9e:0a:7e:ab:e0:fb,1677679403.7987435,72,2412
9e:0a:7e:ab:e0:fb,1677679403.8271363,81,2412
9e:0a:7e:ab:e0:fb,1677679403.8286164,81,2412
ca:cd:59:ea:d7:5d,1677679406.0205984,100,2412
ca:cd:59:ea:d7:5d,1677679406.0366776,100,2412
d6:67:ce:8e:ea:72,1677679406.0702472,100,2412
d6:67:ce:8e:ea:72,1677679406.0862062,100,2412
8a:3c:ea:90:9e:cb,1677679408.2307224,54,2437
8a:3c:ea:90:9e:cb,1677679408.2847643,54,2437
b6:ef:8b:58:64:78,1677679408.5881724,54,2452
b6:ef:8b:58:64:78,1677679408.6439033,100,2452
2a:3f:03:57:74:86,1677679408.7644534,100,2457
da:8c:51:91:48:4f,1677679415.2211273,59,2412
00:d0:2d:e3:92:c3,1677679416.8782425,90,2427
a2:0d:ab:0c:b3:db,1677679423.8564954,100,2412
a2:0d:ab:0c:b3:db,1677679423.8767333,100,2412
7e:13:f1:8c:70:79,1677679423.9033513,100,2412
7e:13:f1:8c:70:79,1677679423.9236724,86,2412
62:40:ef:2a:70:10,1677679424.0319095,100,2412
12:d7:21:d1:08:cd,1677679425.6818783,63,2422
06:78:55:78:15:9d,1677679425.9251313,54,2432
fe:6d:1d:74:4a:1b,1677679426.3488994,63,2452
fe:6d:1d:74:4a:1b,1677679426.4041474,72,2452
12:76:b1:32:18:65,1677679432.4791234,68,2412
12:76:b1:32:18:65,1677679432.5305264,77,2412
e6:cf:44:d8:5a:41,1677679433.1803813,81,2412
48:d6:d5:32:07:c0,1677679438.3199735,81,2412
96:a9:e4:2f:6a:08,1677679441.7688465,81,2412
72:ce:57:5b:15:43,1677679456.7550435,72,2412
00:d0:2d:e3:92:c3,1677679458.7474873,86,2412
5a:5b:81:5c:71:4a,1677679461.9847252,72,2457
5a:5b:81:5c:71:4a,1677679462.0050364,68,2457
7a:aa:e4:6b:f5:83,1677679479.6148405,72,2452
d2:1b:00:54:dd:f4,1677679485.8351693,77,2412
d2:1b:00:54:dd:f4,1677679485.8486445,81,2412
1e:43:03:f8:e7:d2,1677679515.0047483,81,2447
1e:43:03:f8:e7:d2,1677679515.0257204,86,2447
1e:43:03:f8:e7:d2,1677679515.0459723,95,2447
9a:28:c1:a3:c4:57,1677679522.5403645,77,2412
60:ab:67:d4:98:0e,1677679524.4584355,86,2472
60:ab:67:d4:98:0e,1677679524.4584663,86,2472
d4:57:63:f2:d0:44,1677679530.0592623,86,2412
6e:ed:53:84:35:e5,1677679548.1803153,81,2412
96:9c:c3:0e:9a:8f,1677679571.3929803,59,2412
96:9c:c3:0e:9a:8f,1677679571.4144144,68,2412
96:9c:c3:0e:9a:8f,1677679571.4350934,68,2412
96:9c:c3:0e:9a:8f,1677679571.4567153,63,2412
96:9c:c3:0e:9a:8f,1677679571.6107984,68,2412
86:6f:b0:ce:b8:cc,1677679572.2738264,86,2412
86:6f:b0:ce:b8:cc,1677679572.2939303,81,2412
00:d0:2d:e3:92:c3,1677679576.8905673,100,2437
00:d0:2d:e3:92:c3,1677679576.9062634,100,2437
42:79:2d:97:8e:6f,1677679577.7825415,77,2472
8e:2e:42:14:34:71,1677679580.2629275,77,2412
52:ed:a6:93:00:50,1677679582.8669693,77,2412
66:67:88:eb:fb:7b,1677679590.1020944,100,2412
d2:eb:9b:47:9e:31,1677679590.9618154,100,2412
42:d0:b7:ef:e9:2f,1677679594.9294922,72,2447
42:d0:b7:ef:e9:2f,1677679594.9471343,68,2452
42:d0:b7:ef:e9:2f,1677679594.9663973,72,2452
