Bin start,Bin end,Number of unique MAC addresses
1677759346.8944716,1677759526.8944716,36
1677759526.8944716,1677759538.5561423,0
1677759538.5561423,1677759718.5561423,58
1677759718.5561423,1677759719.3028305,0
1677759719.3028305,1677759899.3028305,30
1677759899.3028305,1677759899.9450665,0
1677759899.9450665,1677760079.9450665,64
1677760079.9450665,1677760083.1296926,0
1677760083.1296926,1677760263.1296926,48
1677760263.1296926,1677760270.0410154,0
1677760270.0410154,1677760450.0410154,34
1677760450.0410154,1677760460.8930094,0
1677760460.8930094,1677760640.8930094,43
1677760640.8930094,1677760640.9192414,0
1677760640.9192414,1677760820.9192414,36
1677760820.9192414,1677760821.2451375,0
1677760821.2451375,1677761001.2451375,50
1677761001.2451375,1677761002.1054313,0
1677761002.1054313,1677761182.1054313,46
1677761182.1054313,1677761184.4096074,0
1677761184.4096074,1677761364.4096074,27
1677761364.4096074,1677761366.5491655,0
1677761366.5491655,1677761546.5491655,34
1677761546.5491655,1677761553.6833246,0
1677761553.6833246,1677761733.6833246,32
1677761733.6833246,1677761738.5428956,0
1677761738.5428956,1677761918.5428956,40
1677761918.5428956,1677761921.0313666,0
1677761921.0313666,1677762101.0313666,25
1677762101.0313666,1677762108.4214895,0
1677762108.4214895,1677762288.4214895,18
1677762288.4214895,1677762296.9688663,0
1677762296.9688663,1677762476.9688663,20
1677762476.9688663,1677762481.5549064,0
1677762481.5549064,1677762661.5549064,26
1677762661.5549064,1677762670.7887025,0
1677762670.7887025,1677762850.7887025,16
1677762850.7887025,1677762851.4226124,0
1677762851.4226124,1677763031.4226124,32
1677763031.4226124,1677763031.9764886,0
1677763031.9764886,1677763211.9764886,39
1677763211.9764886,1677763213.7733753,0
1677763213.7733753,1677763393.7733753,45
1677763393.7733753,1677763395.0308466,0
1677763395.0308466,1677763575.0308466,14
1677763575.0308466,1677763581.1882365,0
1677763581.1882365,1677763761.1882365,39
1677763761.1882365,1677763763.0916524,0
1677763763.0916524,1677763943.0916524,51
1677763943.0916524,1677763948.0004535,0
1677763948.0004535,1677764128.0004535,23
1677764128.0004535,1677764132.7951095,0
1677764132.7951095,1677764312.7951095,36
1677764312.7951095,1677764314.0603514,0
1677764314.0603514,1677764494.0603514,80
1677764494.0603514,1677764498.0901525,0
1677764498.0901525,1677764678.0901525,70
1677764678.0901525,1677764681.3115003,0
1677764681.3115003,1677764861.3115003,71
1677764861.3115003,1677764867.2917643,0
1677764867.2917643,1677765047.2917643,40
1677765047.2917643,1677765048.5959225,0
1677765048.5959225,1677765228.5959225,49
1677765228.5959225,1677765232.5692892,0
1677765232.5692892,1677765412.5692892,21
1677765412.5692892,1677765417.0941443,0
1677765417.0941443,1677765597.0941443,49
1677765597.0941443,1677765603.4898353,0
1677765603.4898353,1677765783.4898353,85
1677765783.4898353,1677765812.6081245,0
1677765812.6081245,1677765992.6081245,40
1677765992.6081245,1677766006.3436885,0
1677766006.3436885,1677766186.3436885,39
1677766186.3436885,1677766197.6446013,0
1677766197.6446013,1677766377.6446013,40
1677766377.6446013,1677766379.9689515,0
1677766379.9689515,1677766559.9689515,44
1677766559.9689515,1677766567.0472844,0
1677766567.0472844,1677766747.0472844,47
1677766747.0472844,1677766765.1413484,0
1677766765.1413484,1677766945.1413484,37
1677766945.1413484,1677766945.4127705,0
1677766945.4127705,1677767125.4127705,66
1677767125.4127705,1677767141.9847894,0
1677767141.9847894,1677767321.9847894,35
1677767321.9847894,1677767325.1268766,0
1677767325.1268766,1677767505.1268766,35
1677767505.1268766,1677767507.6305604,0
1677767507.6305604,1677767687.6305604,25
1677767687.6305604,1677767691.6060467,0
1677767691.6060467,1677767871.6060467,26
1677767871.6060467,1677767871.6738274,0
1677767871.6738274,1677768051.6738274,84
1677768051.6738274,1677768052.5169544,0
1677768052.5169544,1677768232.5169544,64
1677768232.5169544,1677768235.0925984,0
1677768235.0925984,1677768415.0925984,117
1677768415.0925984,1677768418.0026116,0
1677768418.0026116,1677768598.0026116,113
1677768598.0026116,1677768599.1083674,0
1677768599.1083674,1677768779.1083674,126
1677768779.1083674,1677768779.8167994,0
1677768779.8167994,1677768959.8167994,115
1677768959.8167994,1677768961.7369764,0
1677768961.7369764,1677769141.7369764,114
1677769141.7369764,1677769144.2259924,0
1677769144.2259924,1677769324.2259924,47
1677769324.2259924,1677769331.4810195,0
1677769331.4810195,1677769511.4810195,28
1677769511.4810195,1677769513.2286603,0
1677769513.2286603,1677769693.2286603,56
1677769693.2286603,1677769704.2506835,0
1677769704.2506835,1677769884.2506835,39
1677769884.2506835,1677769890.7897215,0
1677769890.7897215,1677770070.7897215,87
1677770070.7897215,1677770075.2846036,0
1677770075.2846036,1677770255.2846036,45
1677770255.2846036,1677770256.5341773,0
1677770256.5341773,1677770436.5341773,84
1677770436.5341773,1677770441.0041595,0
1677770441.0041595,1677770621.0041595,83
1677770621.0041595,1677770626.4701626,0
1677770626.4701626,1677770806.4701626,31
1677770806.4701626,1677770807.7725043,0
1677770807.7725043,1677770987.7725043,31
1677770987.7725043,1677770992.7259586,0
1677770992.7259586,1677771172.7259586,38
1677771172.7259586,1677771177.5689116,0
1677771177.5689116,1677771357.5689116,45
1677771357.5689116,1677771357.5808275,0
1677771357.5808275,1677771537.5808275,56
1677771537.5808275,1677771541.0973034,0
1677771541.0973034,1677771721.0973034,50
1677771721.0973034,1677771721.1516545,0
1677771721.1516545,1677771901.1516545,58
1677771901.1516545,1677771906.7032433,0
1677771906.7032433,1677772086.7032433,67
1677772086.7032433,1677772089.2060804,0
1677772089.2060804,1677772269.2060804,69
1677772269.2060804,1677772269.3806744,0
1677772269.3806744,1677772449.3806744,77
1677772449.3806744,1677772456.4086695,0
1677772456.4086695,1677772636.4086695,47
1677772636.4086695,1677772644.7733684,0
1677772644.7733684,1677772824.7733684,67
1677772824.7733684,1677772826.6261663,0
1677772826.6261663,1677773006.6261663,80
1677773006.6261663,1677773015.6019354,0
1677773015.6019354,1677773195.6019354,75
1677773195.6019354,1677773201.6986625,0
1677773201.6986625,1677773381.6986625,88
1677773381.6986625,1677773382.1577194,0
1677773382.1577194,1677773562.1577194,104
1677773562.1577194,1677773562.8459594,0
1677773562.8459594,1677773742.8459594,124
1677773742.8459594,1677773742.9052052,0
1677773742.9052052,1677773922.9052052,83
1677773922.9052052,1677773923.3520374,0
1677773923.3520374,1677774103.3520374,106
1677774103.3520374,1677774103.3596075,0
1677774103.3596075,1677774283.3596075,109
1677774283.3596075,1677774284.8511314,0
1677774284.8511314,1677774464.8511314,83
1677774464.8511314,1677774470.2474275,0
1677774470.2474275,1677774650.2474275,79
1677774650.2474275,1677774655.1565106,0
1677774655.1565106,1677774835.1565106,76
1677774835.1565106,1677774836.4176185,0
1677774836.4176185,1677775016.4176185,116
1677775016.4176185,1677775017.3214896,0
1677775017.3214896,1677775197.3214896,204
1677775197.3214896,1677775198.7878165,0
1677775198.7878165,1677775378.7878165,157
1677775378.7878165,1677775381.6358664,0
1677775381.6358664,1677775561.6358664,143
1677775561.6358664,1677775562.6598444,0
1677775562.6598444,1677775742.6598444,130
1677775742.6598444,1677775742.6887283,0
1677775742.6887283,1677775922.6887283,118
1677775922.6887283,1677775924.7588644,0
