Bin start,Bin end,Number of unique MAC addresses
1677928279.9389677,1677928339.9389677,11
1677928339.9389677,1677928399.9389677,0
1677928348.2981315,1677928408.2981315,6
1677928408.2981315,1677928468.2981315,0
1677928413.8976607,1677928473.8976607,9
1677928473.8976607,1677928533.8976607,0
1677928490.429412,1677928550.429412,3
1677928550.429412,1677928610.429412,0
1677928557.814237,1677928617.814237,14
1677928617.814237,1677928677.814237,0
1677928619.000028,1677928679.000028,13
1677928679.000028,1677928739.000028,0
1677928681.721199,1677928741.721199,13
1677928741.721199,1677928801.721199,0
1677928741.9376507,1677928801.9376507,8
1677928801.9376507,1677928861.9376507,0
1677928809.603958,1677928869.603958,8
1677928869.603958,1677928929.603958,0
1677928883.370916,1677928943.370916,7
1677928943.370916,1677929003.370916,0
1677928978.2332509,1677929038.2332509,2
1677929038.2332509,1677929098.2332509,0
1677929040.468997,1677929100.468997,3
1677929100.468997,1677929160.468997,0
1677929112.11089,1677929172.11089,6
1677929172.11089,1677929232.11089,0
1677929179.7605538,1677929239.7605538,4
1677929239.7605538,1677929299.7605538,0
1677929248.625894,1677929308.625894,12
1677929308.625894,1677929368.625894,0
1677929313.826749,1677929373.826749,8
1677929373.826749,1677929433.826749,0
1677929381.157895,1677929441.157895,6
1677929441.157895,1677929501.157895,0
1677929453.7515428,1677929513.7515428,6
1677929513.7515428,1677929573.7515428,0
1677929515.787784,1677929575.787784,4
1677929575.787784,1677929635.787784,0
1677929604.336143,1677929664.336143,6
1677929664.336143,1677929724.336143,0
1677929665.952569,1677929725.952569,10
1677929725.952569,1677929785.952569,0
1677929733.6038659,1677929793.6038659,7
1677929793.6038659,1677929853.6038659,0
1677929809.791576,1677929869.791576,8
1677929869.791576,1677929929.791576,0
1677929889.148188,1677929949.148188,21
1677929949.148188,1677930009.148188,0
1677929951.89943,1677930011.89943,10
1677930011.89943,1677930071.89943,0
1677930019.794578,1677930079.794578,5
1677930079.794578,1677930139.794578,0
1677930085.959365,1677930145.959365,7
1677930145.959365,1677930205.959365,0
1677930146.038812,1677930206.038812,5
1677930206.038812,1677930266.038812,0
1677930207.807302,1677930267.807302,3
1677930267.807302,1677930327.807302,0
1677930271.804431,1677930331.804431,4
1677930331.804431,1677930391.804431,0
1677930339.562383,1677930399.562383,9
1677930399.562383,1677930459.562383,0
1677930403.748954,1677930463.748954,15
1677930463.748954,1677930523.748954,0
1677930463.8178499,1677930523.8178499,20
1677930523.8178499,1677930583.8178499,0
1677930539.916274,1677930599.916274,11
1677930599.916274,1677930659.916274,0
1677930605.379258,1677930665.379258,13
1677930665.379258,1677930725.379258,0
1677930680.3834038,1677930740.3834038,8
1677930740.3834038,1677930800.3834038,0
1677930741.7663221,1677930801.7663221,8
1677930801.7663221,1677930861.7663221,0
1677930809.787469,1677930869.787469,12
1677930869.787469,1677930929.787469,0
1677930871.921496,1677930931.921496,7
1677930931.921496,1677930991.921496,0
1677930935.9507408,1677930995.9507408,9
1677930995.9507408,1677931055.9507408,0
1677931009.5204349,1677931069.5204349,10
1677931069.5204349,1677931129.5204349,0
1677931069.790951,1677931129.790951,7
1677931129.790951,1677931189.790951,0
1677931149.1811938,1677931209.1811938,9
1677931209.1811938,1677931269.1811938,0
1677931211.937249,1677931271.937249,5
1677931271.937249,1677931331.937249,0
1677931305.9074311,1677931365.9074311,11
1677931365.9074311,1677931425.9074311,0
1677931371.55732,1677931431.55732,16
1677931431.55732,1677931491.55732,0
1677931432.255101,1677931492.255101,21
1677931492.255101,1677931552.255101,0
1677931495.4516249,1677931555.4516249,34
1677931555.4516249,1677931615.4516249,0
1677931555.8494802,1677931615.8494802,17
1677931615.8494802,1677931675.8494802,0
1677931620.9712088,1677931680.9712088,19
1677931680.9712088,1677931740.9712088,0
1677931681.984838,1677931741.984838,3
1677931741.984838,1677931801.984838,0
1677931749.8674169,1677931809.8674169,7
1677931809.8674169,1677931869.8674169,0
1677931821.4287019,1677931881.4287019,2
1677931881.4287019,1677931941.4287019,0
1677931883.9279978,1677931943.9279978,9
1677931943.9279978,1677932003.9279978,0
1677931946.9665577,1677932006.9665577,2
1677932006.9665577,1677932066.9665577,0
1677932009.9305267,1677932069.9305267,2
1677932069.9305267,1677932129.9305267,0
1677932082.0701559,1677932142.0701559,12
1677932142.0701559,1677932202.0701559,0
1677932143.880338,1677932203.880338,13
1677932203.880338,1677932263.880338,0
1677932211.8929489,1677932271.8929489,3
1677932271.8929489,1677932331.8929489,0
1677932288.158745,1677932348.158745,2
1677932348.158745,1677932408.158745,0
1677932353.998374,1677932413.998374,7
1677932413.998374,1677932473.998374,0
1677932418.193708,1677932478.193708,6
1677932478.193708,1677932538.193708,0
1677932497.8147318,1677932557.8147318,7
1677932557.8147318,1677932617.8147318,0
1677932580.673562,1677932640.673562,9
1677932640.673562,1677932700.673562,0
1677932648.0007558,1677932708.0007558,3
1677932708.0007558,1677932768.0007558,0
1677932726.1224008,1677932786.1224008,11
1677932786.1224008,1677932846.1224008,0
1677932791.8254938,1677932851.8254938,3
1677932851.8254938,1677932911.8254938,0
1677932871.9550178,1677932931.9550178,2
1677932931.9550178,1677932991.9550178,0
1677932933.9450018,1677932993.9450018,4
1677932993.9450018,1677933053.9450018,0
1677932998.5746768,1677933058.5746768,4
1677933058.5746768,1677933118.5746768,0
1677933060.349866,1677933120.349866,4
1677933120.349866,1677933180.349866,0
1677933127.88728,1677933187.88728,4
1677933187.88728,1677933247.88728,0
1677933191.9532049,1677933251.9532049,9
1677933251.9532049,1677933311.9532049,0
1677933254.029749,1677933314.029749,3
1677933314.029749,1677933374.029749,0
1677933327.3644989,1677933387.3644989,8
1677933387.3644989,1677933447.3644989,0
1677933395.972956,1677933455.972956,18
1677933455.972956,1677933515.972956,0
1677933458.9809859,1677933518.9809859,10
1677933518.9809859,1677933578.9809859,0
1677933525.0652587,1677933585.0652587,32
1677933585.0652587,1677933645.0652587,0
1677933587.791117,1677933647.791117,15
1677933647.791117,1677933707.791117,0
1677933649.3211179,1677933709.3211179,10
1677933709.3211179,1677933769.3211179,0
1677933712.188367,1677933772.188367,8
1677933772.188367,1677933832.188367,0
1677933773.981974,1677933833.981974,8
1677933833.981974,1677933893.981974,0
1677933850.3101947,1677933910.3101947,6
1677933910.3101947,1677933970.3101947,0
1677933933.9228399,1677933993.9228399,5
1677933993.9228399,1677934053.9228399,0
1677934018.0551457,1677934078.0551457,5
1677934078.0551457,1677934138.0551457,0
1677934087.6872149,1677934147.6872149,5
1677934147.6872149,1677934207.6872149,0
1677934149.9153478,1677934209.9153478,5
1677934209.9153478,1677934269.9153478,0
1677934219.8627,1677934279.8627,6
1677934279.8627,1677934339.8627,0
1677934291.896324,1677934351.896324,5
1677934351.896324,1677934411.896324,0
1677934353.9090688,1677934413.9090688,6
1677934413.9090688,1677934473.9090688,0
1677934423.8175268,1677934483.8175268,3
1677934483.8175268,1677934543.8175268,0
1677934487.970327,1677934547.970327,11
1677934547.970327,1677934607.970327,0
1677934551.851291,1677934611.851291,7
1677934611.851291,1677934671.851291,0
1677934616.144388,1677934676.144388,15
1677934676.144388,1677934736.144388,0
1677934681.0703359,1677934741.0703359,11
1677934741.0703359,1677934801.0703359,0
1677934745.2302728,1677934805.2302728,23
1677934805.2302728,1677934865.2302728,0
1677934805.8550377,1677934865.8550377,27
1677934865.8550377,1677934925.8550377,0
1677934865.9784238,1677934925.9784238,18
1677934925.9784238,1677934985.9784238,0
1677934931.078816,1677934991.078816,13
1677934991.078816,1677935051.078816,0
1677934991.716228,1677935051.716228,37
1677935051.716228,1677935111.716228,0
1677935051.859608,1677935111.859608,25
1677935111.859608,1677935171.859608,0
1677935118.0132608,1677935178.0132608,20
1677935178.0132608,1677935238.0132608,0
1677935182.321266,1677935242.321266,19
1677935242.321266,1677935302.321266,0
1677935252.477727,1677935312.477727,13
1677935312.477727,1677935372.477727,0
1677935313.669447,1677935373.669447,13
1677935373.669447,1677935433.669447,0
1677935375.4808109,1677935435.4808109,19
1677935435.4808109,1677935495.4808109,0
1677935437.1576738,1677935497.1576738,19
1677935497.1576738,1677935557.1576738,0
1677935499.6890578,1677935559.6890578,15
1677935559.6890578,1677935619.6890578,0
1677935563.2166839,1677935623.2166839,15
1677935623.2166839,1677935683.2166839,0
1677935629.4226599,1677935689.4226599,4
1677935689.4226599,1677935749.4226599,0
1677935728.263121,1677935788.263121,5
1677935788.263121,1677935848.263121,0
1677935788.2913048,1677935848.2913048,6
1677935848.2913048,1677935908.2913048,0
1677935853.233253,1677935913.233253,3
1677935913.233253,1677935973.233253,0
1677935916.014045,1677935976.014045,6
1677935976.014045,1677936036.014045,0
1677935979.1577368,1677936039.1577368,6
1677936039.1577368,1677936099.1577368,0
1677936042.474454,1677936102.474454,5
1677936102.474454,1677936162.474454,0
1677936104.2966619,1677936164.2966619,7
1677936164.2966619,1677936224.2966619,0
1677936171.548537,1677936231.548537,8
1677936231.548537,1677936291.548537,0
1677936243.9607399,1677936303.9607399,9
1677936303.9607399,1677936363.9607399,0
1677936305.957724,1677936365.957724,16
1677936365.957724,1677936425.957724,0
1677936370.20696,1677936430.20696,18
1677936430.20696,1677936490.20696,0
1677936430.8561788,1677936490.8561788,31
1677936490.8561788,1677936550.8561788,0
1677936492.4988089,1677936552.4988089,22
1677936552.4988089,1677936612.4988089,0
1677936553.470955,1677936613.470955,13
1677936613.470955,1677936673.470955,0
1677936613.843766,1677936673.843766,10
1677936673.843766,1677936733.843766,0
1677936680.1175299,1677936740.1175299,7
1677936740.1175299,1677936800.1175299,0
1677936747.9499638,1677936807.9499638,4
1677936807.9499638,1677936867.9499638,0
1677936815.009709,1677936875.009709,15
1677936875.009709,1677936935.009709,0
1677936876.0357878,1677936936.0357878,5
1677936936.0357878,1677936996.0357878,0
1677936947.7896369,1677937007.7896369,8
1677937007.7896369,1677937067.7896369,0
1677937008.0257268,1677937068.0257268,8
1677937068.0257268,1677937128.0257268,0
1677937075.44623,1677937135.44623,9
1677937135.44623,1677937195.44623,0
1677937141.938478,1677937201.938478,8
1677937201.938478,1677937261.938478,0
1677937204.8207767,1677937264.8207767,25
1677937264.8207767,1677937324.8207767,0
1677937270.158202,1677937330.158202,14
1677937330.158202,1677937390.158202,0
1677937333.3237438,1677937393.3237438,8
1677937393.3237438,1677937453.3237438,0
1677937394.0773969,1677937454.0773969,10
1677937454.0773969,1677937514.0773969,0
1677937462.3939288,1677937522.3939288,2
1677937522.3939288,1677937582.3939288,0
1677937527.939559,1677937587.939559,9
1677937587.939559,1677937647.939559,0
1677937594.3147619,1677937654.3147619,4
1677937654.3147619,1677937714.3147619,0
1677937656.150424,1677937716.150424,11
1677937716.150424,1677937776.150424,0
1677937723.6026888,1677937783.6026888,10
1677937783.6026888,1677937843.6026888,0
1677937785.388397,1677937845.388397,15
1677937845.388397,1677937905.388397,0
1677937864.548914,1677937924.548914,12
1677937924.548914,1677937984.548914,0
1677937929.422457,1677937989.422457,6
1677937989.422457,1677938049.422457,0
1677937993.909988,1677938053.909988,12
1677938053.909988,1677938113.909988,0
1677938057.192052,1677938117.192052,8
1677938117.192052,1677938177.192052,0
1677938117.858119,1677938177.858119,16
1677938177.858119,1677938237.858119,0
1677938184.036213,1677938244.036213,9
1677938244.036213,1677938304.036213,0
1677938252.398246,1677938312.398246,6
1677938312.398246,1677938372.398246,0
1677938318.095084,1677938378.095084,7
1677938378.095084,1677938438.095084,0
1677938390.7278378,1677938450.7278378,15
1677938450.7278378,1677938510.7278378,0
1677938461.932052,1677938521.932052,5
1677938521.932052,1677938581.932052,0
1677938542.330916,1677938602.330916,13
1677938602.330916,1677938662.330916,0
1677938604.037046,1677938664.037046,2
1677938664.037046,1677938724.037046,0
1677938682.4330428,1677938742.4330428,7
1677938742.4330428,1677938802.4330428,0
1677938746.871036,1677938806.871036,10
1677938806.871036,1677938866.871036,0
1677938810.7750618,1677938870.7750618,4
1677938870.7750618,1677938930.7750618,0
1677938880.2613628,1677938940.2613628,8
1677938940.2613628,1677939000.2613628,0
1677938947.8437228,1677939007.8437228,5
1677939007.8437228,1677939067.8437228,0
1677939024.582875,1677939084.582875,5
1677939084.582875,1677939144.582875,0
1677939091.9220378,1677939151.9220378,3
1677939151.9220378,1677939211.9220378,0
1677939192.218821,1677939252.218821,11
1677939252.218821,1677939312.218821,0
1677939259.924811,1677939319.924811,3
1677939319.924811,1677939379.924811,0
1677939321.505135,1677939381.505135,3
1677939381.505135,1677939441.505135,0
1677939382.5081198,1677939442.5081198,13
1677939442.5081198,1677939502.5081198,0
1677939448.454353,1677939508.454353,9
1677939508.454353,1677939568.454353,0
1677939511.4331927,1677939571.4331927,9
1677939571.4331927,1677939631.4331927,0
1677939578.136432,1677939638.136432,9
1677939638.136432,1677939698.136432,0
1677939640.940728,1677939700.940728,11
1677939700.940728,1677939760.940728,0
1677939701.875515,1677939761.875515,14
1677939761.875515,1677939821.875515,0
1677939763.927813,1677939823.927813,11
1677939823.927813,1677939883.927813,0
1677939830.1165411,1677939890.1165411,2
1677939890.1165411,1677939950.1165411,0
1677939891.416843,1677939951.416843,5
1677939951.416843,1677940011.416843,0
1677939985.402896,1677940045.402896,5
1677940045.402896,1677940105.402896,0
1677940057.9359338,1677940117.9359338,6
1677940117.9359338,1677940177.9359338,0
1677940124.418403,1677940184.418403,4
1677940184.418403,1677940244.418403,0
1677940191.342088,1677940251.342088,12
1677940251.342088,1677940311.342088,0
1677940284.447609,1677940344.447609,4
1677940344.447609,1677940404.447609,0
1677940346.6522648,1677940406.6522648,4
1677940406.6522648,1677940466.6522648,0
1677940408.1607547,1677940468.1607547,9
1677940468.1607547,1677940528.1607547,0
1677940477.9634469,1677940537.9634469,2
1677940537.9634469,1677940597.9634469,0
1677940564.47027,1677940624.47027,12
1677940624.47027,1677940684.47027,0
1677940625.7905781,1677940685.7905781,10
1677940685.7905781,1677940745.7905781,0
1677940690.0122027,1677940750.0122027,4
1677940750.0122027,1677940810.0122027,0
1677940751.9729009,1677940811.9729009,14
1677940811.9729009,1677940871.9729009,0
1677940812.3635879,1677940872.3635879,18
1677940872.3635879,1677940932.3635879,0
1677940876.268538,1677940936.268538,21
1677940936.268538,1677940996.268538,0
1677940936.3154857,1677940996.3154857,8
1677940996.3154857,1677941056.3154857,0
1677940998.0773048,1677941058.0773048,7
1677941058.0773048,1677941118.0773048,0
1677941069.613113,1677941129.613113,3
1677941129.613113,1677941189.613113,0
1677941142.321564,1677941202.321564,5
1677941202.321564,1677941262.321564,0
1677941206.2166188,1677941266.2166188,8
1677941266.2166188,1677941326.2166188,0
1677941274.586392,1677941334.586392,7
1677941334.586392,1677941394.586392,0
1677941336.294545,1677941396.294545,11
1677941396.294545,1677941456.294545,0
1677941402.194763,1677941462.194763,5
1677941462.194763,1677941522.194763,0
1677941468.1609519,1677941528.1609519,2
1677941528.1609519,1677941588.1609519,0
1677941544.383694,1677941604.383694,3
1677941604.383694,1677941664.383694,0
1677941628.1116898,1677941688.1116898,2
1677941688.1116898,1677941748.1116898,0
1677941703.418984,1677941763.418984,7
1677941763.418984,1677941823.418984,0
1677941765.8896527,1677941825.8896527,6
1677941825.8896527,1677941885.8896527,0
1677941846.6063,1677941906.6063,2
1677941906.6063,1677941966.6063,0
1677941914.0553298,1677941974.0553298,6
1677941974.0553298,1677942034.0553298,0
1677941979.483168,1677942039.483168,4
1677942039.483168,1677942099.483168,0
1677942050.606721,1677942110.606721,7
1677942110.606721,1677942170.606721,0
1677942115.9737828,1677942175.9737828,2
1677942175.9737828,1677942235.9737828,0
1677942177.637486,1677942237.637486,3
1677942237.637486,1677942297.637486,0
1677942243.443473,1677942303.443473,4
1677942303.443473,1677942363.443473,0
1677942342.0949228,1677942402.0949228,6
1677942402.0949228,1677942462.0949228,0
1677942409.989503,1677942469.989503,5
1677942469.989503,1677942529.989503,0
1677942474.141923,1677942534.141923,6
1677942534.141923,1677942594.141923,0
1677942535.976998,1677942595.976998,10
1677942595.976998,1677942655.976998,0
1677942596.305724,1677942656.305724,3
1677942656.305724,1677942716.305724,0
1677942662.1728969,1677942722.1728969,6
1677942722.1728969,1677942782.1728969,0
1677942728.183374,1677942788.183374,6
1677942788.183374,1677942848.183374,0
1677942793.220734,1677942853.220734,6
1677942853.220734,1677942913.220734,0
1677942854.1860137,1677942914.1860137,5
1677942914.1860137,1677942974.1860137,0
1677942919.6523948,1677942979.6523948,9
1677942979.6523948,1677943039.6523948,0
1677942982.617668,1677943042.617668,5
1677943042.617668,1677943102.617668,0
1677943051.1999788,1677943111.1999788,4
1677943111.1999788,1677943171.1999788,0
1677943124.381784,1677943184.381784,8
1677943184.381784,1677943244.381784,0
1677943186.5300639,1677943246.5300639,5
1677943246.5300639,1677943306.5300639,0
1677943248.628103,1677943308.628103,10
1677943308.628103,1677943368.628103,0
1677943322.6619627,1677943382.6619627,8
1677943382.6619627,1677943442.6619627,0
1677943386.660867,1677943446.660867,7
1677943446.660867,1677943506.660867,0
1677943448.041329,1677943508.041329,8
1677943508.041329,1677943568.041329,0
1677943511.678433,1677943571.678433,3
1677943571.678433,1677943631.678433,0
1677943581.519686,1677943641.519686,9
1677943641.519686,1677943701.519686,0
1677943653.8209257,1677943713.8209257,7
