Bin start,Bin end,Number of unique MAC addresses
1677514679.169285,1677514739.169285,33
1677514739.169285,1677514799.169285,0
1677514741.9236703,1677514801.9236703,14
1677514801.9236703,1677514861.9236703,0
1677514807.1202686,1677514867.1202686,11
1677514867.1202686,1677514927.1202686,0
1677514868.3165827,1677514928.3165827,19
1677514928.3165827,1677514988.3165827,0
1677514933.115586,1677514993.115586,27
1677514993.115586,1677515053.115586,0
1677514996.3180273,1677515056.3180273,10
1677515056.3180273,1677515116.3180273,0
1677515056.982141,1677515116.982141,11
1677515116.982141,1677515176.982141,0
1677515117.0187578,1677515177.0187578,13
1677515177.0187578,1677515237.0187578,0
1677515177.0259738,1677515237.0259738,20
1677515237.0259738,1677515297.0259738,0
1677515242.0446742,1677515302.0446742,40
1677515302.0446742,1677515362.0446742,0
1677515309.240246,1677515369.240246,16
1677515369.240246,1677515429.240246,0
1677515369.528521,1677515429.528521,41
1677515429.528521,1677515489.528521,0
1677515431.2835684,1677515491.2835684,21
1677515491.2835684,1677515551.2835684,0
1677515492.0829866,1677515552.0829866,25
1677515552.0829866,1677515612.0829866,0
1677515553.649984,1677515613.649984,51
1677515613.649984,1677515673.649984,0
1677515613.6508145,1677515673.6508145,30
1677515673.6508145,1677515733.6508145,0
1677515673.6547098,1677515733.6547098,52
1677515733.6547098,1677515793.6547098,0
1677515733.8622792,1677515793.8622792,34
1677515793.8622792,1677515853.8622792,0
1677515804.540462,1677515864.540462,17
1677515864.540462,1677515924.540462,0
1677515868.6359334,1677515928.6359334,25
1677515928.6359334,1677515988.6359334,0
1677515929.5894303,1677515989.5894303,35
1677515989.5894303,1677516049.5894303,0
1677515991.7834432,1677516051.7834432,17
1677516051.7834432,1677516111.7834432,0
1677516058.469363,1677516118.469363,20
1677516118.469363,1677516178.469363,0
1677516119.0315208,1677516179.0315208,30
1677516179.0315208,1677516239.0315208,0
1677516182.0142703,1677516242.0142703,43
1677516242.0142703,1677516302.0142703,0
1677516242.6345224,1677516302.6345224,48
1677516302.6345224,1677516362.6345224,0
1677516302.687183,1677516362.687183,23
1677516362.687183,1677516422.687183,0
