MAC,Timestamp,Signal Quality,Channel Frequency
8e:79:22:c8:e7:88,1677847210.0406773,63,2412
2a:64:e3:f9:3b:c1,1677847210.157192,59,2412
2a:78:90:16:17:5c,1677847210.7405713,59,2412
2a:78:90:16:17:5c,1677847210.7959104,81,2412
ee:e0:f5:fc:8d:b1,1677847217.091694,68,2412
00:d0:2d:e3:92:c3,1677847218.270677,86,2412
06:8d:a1:29:bd:48,1677847218.890567,68,2412
4e:78:30:fa:7a:66,1677847221.4369202,77,2412
4e:78:30:fa:7a:66,1677847226.3554382,90,2412
9a:05:47:81:cb:a3,1677847227.669183,63,2412
de:59:53:c4:99:2a,1677847232.8609262,9,5260
82:80:a6:26:53:61,1677847237.9264872,77,2412
9a:3f:53:28:67:73,1677847240.8064692,81,2457
00:0e:8e:9a:66:31,1677847250.5644422,18,5240
00:0e:8e:9a:66:31,1677847250.5644722,15,5240
00:0e:8e:9a:66:31,1677847250.6142502,18,5260
00:0e:8e:9a:66:31,1677847250.6142783,18,5260
00:0e:8e:9a:66:31,1677847250.9144142,15,5300
00:0e:8e:9a:66:31,1677847250.9144561,21,5300
c6:98:ac:23:77:64,1677847254.3416672,72,2412
c6:98:ac:23:77:64,1677847254.3416982,68,2412
c6:98:ac:23:77:64,1677847254.346506,72,2412
c6:98:ac:23:77:64,1677847254.3465343,72,2412
c6:98:ac:23:77:64,1677847254.3479493,72,2412
c6:98:ac:23:77:64,1677847254.391936,68,2412
ea:fd:0a:23:80:6c,1677847255.166861,81,2412
52:04:a4:69:62:d6,1677847257.353906,54,2412
9a:9a:97:67:a9:5c,1677847257.4274073,68,2412
9a:9a:97:67:a9:5c,1677847257.447676,68,2412
48:d6:d5:32:07:c0,1677847266.612222,86,2422
48:d6:d5:32:07:c0,1677847267.0311623,86,2442
48:d6:d5:32:07:c0,1677847267.038067,86,2442
ce:99:dd:af:b5:24,1677847271.9635663,72,2412
6e:cb:1a:ab:34:0d,1677847272.6044812,68,2412
66:b1:82:e5:24:76,1677847275.7798111,77,2437
5e:7f:1d:12:57:aa,1677847275.9934502,72,2447
02:d1:f4:df:52:d5,1677847280.5906193,72,2412
0a:4f:e8:48:fa:43,1677847280.6803143,72,2412
