MAC,Timestamp,Signal Quality,Channel Frequency
22:ae:4a:90:e3:4d,1677928565.2378747,77,2412
ea:20:31:e2:ab:36,1677928565.550309,72,2412
00:d0:2d:e3:92:c3,1677928565.9018378,81,2412
e6:8b:24:18:01:42,1677928567.7281168,100,2412
26:ba:ed:1b:3d:df,1677928568.248635,100,2412
26:ba:ed:1b:3d:df,1677928568.309368,100,2412
ea:d8:f2:4f:be:5d,1677928569.4121277,100,2432
00:d0:2d:e3:92:c3,1677928573.9555879,81,2412
da:25:fa:2f:29:c8,1677928575.9914658,54,2412
da:25:fa:2f:29:c8,1677928576.017744,68,2412
9a:e6:4d:5d:7f:ea,1677928577.915077,81,2417
fe:14:b3:b5:c4:cd,1677928578.3005788,72,2432
d6:1a:8d:fb:86:b9,1677928582.916882,72,2412
ea:d8:f2:4f:be:5d,1677928588.0690007,68,2467
ea:d8:f2:4f:be:5d,1677928588.0840847,72,2472
00:d0:2d:e3:92:c3,1677928591.7576418,81,2412
00:d0:2d:e3:92:c3,1677928591.773248,81,2412
96:b5:ee:d6:44:86,1677928595.6027517,72,2412
96:b5:ee:d6:44:86,1677928595.6462379,81,2417
00:d0:2d:e3:92:c3,1677928599.835866,77,2412
48:d6:d5:32:07:c0,1677928609.40846,77,2412
48:d6:d5:32:07:c0,1677928609.409865,81,2412
82:87:79:77:16:76,1677928619.000028,100,2412
82:87:79:77:16:76,1677928619.000059,100,2412
82:87:79:77:16:76,1677928619.000084,100,2412
82:87:79:77:16:76,1677928619.0210538,100,2412
82:87:79:77:16:76,1677928619.0237648,100,2412
82:87:79:77:16:76,1677928619.0413039,100,2412
82:87:79:77:16:76,1677928619.04278,100,2412
82:87:79:77:16:76,1677928619.08694,100,2412
82:87:79:77:16:76,1677928619.088182,100,2412
82:87:79:77:16:76,1677928619.105645,100,2412
82:87:79:77:16:76,1677928619.1070929,100,2412
82:87:79:77:16:76,1677928619.10837,100,2412
82:87:79:77:16:76,1677928619.149903,100,2412
82:87:79:77:16:76,1677928619.151161,100,2412
2a:4b:7d:5c:e7:a2,1677928636.10024,77,2412
fe:c3:db:57:1c:4d,1677928636.3011818,81,2412
a6:c9:39:d9:00:52,1677928638.820133,81,2412
36:57:47:39:c6:19,1677928639.036751,63,2412
36:57:47:39:c6:19,1677928639.057848,63,2412
36:57:47:39:c6:19,1677928639.059342,63,2412
36:57:47:39:c6:19,1677928639.0607138,63,2412
36:57:47:39:c6:19,1677928639.078125,63,2412
36:57:47:39:c6:19,1677928639.079592,68,2412
36:57:47:39:c6:19,1677928639.0809681,63,2412
36:57:47:39:c6:19,1677928639.12185,59,2412
36:57:47:39:c6:19,1677928639.1233208,59,2412
36:57:47:39:c6:19,1677928639.1247158,54,2412
36:57:47:39:c6:19,1677928639.1435008,59,2412
36:57:47:39:c6:19,1677928639.144811,63,2412
