MAC,Timestamp,Signal Quality,Channel Frequency
aa:e5:3b:d6:b1:7a,1677512909.221915,72,2412
48:d6:d5:32:07:c0,1677512928.055207,81,2412
48:d6:d5:32:07:c0,1677512928.056226,100,2412
c6:ae:27:e5:2d:ce,1677512930.939943,21,5220
c6:ae:27:e5:2d:ce,1677512930.9602551,9,5240
00:d0:2d:e3:92:c3,1677512933.3817763,86,2412
fa:a3:bd:75:33:dd,1677512936.426145,90,2412
3a:93:42:d2:82:eb,1677512937.2694342,77,2412
be:77:d1:cc:65:04,1677512943.7932515,81,2412
0a:bb:5c:ed:e0:e8,1677512947.7693691,72,2452
da:be:06:4c:0a:75,1677512952.8562267,72,2412
52:33:2d:65:67:af,1677512956.8295069,59,2457
7a:dc:75:7c:45:64,1677512956.962268,59,2462
be:77:d1:cc:65:04,1677512957.9751725,12,5300
be:77:d1:cc:65:04,1677512960.0526063,68,2412
be:77:d1:cc:65:04,1677512960.0745044,68,2412
be:77:d1:cc:65:04,1677512964.3741736,81,2412
2e:96:e4:d9:b2:23,1677512966.9534261,12,5300
e6:8f:21:00:89:a2,1677512968.6117947,86,2412
ee:03:a7:80:df:c7,1677512971.9837136,86,2412
be:77:d1:cc:65:04,1677512980.182997,81,2412
be:77:d1:cc:65:04,1677512983.7889638,63,2472
be:77:d1:cc:65:04,1677512983.810778,63,2472
be:77:d1:cc:65:04,1677512989.8674343,77,2412
be:77:d1:cc:65:04,1677512989.9858956,81,2412
be:77:d1:cc:65:04,1677512990.0094216,72,2412
ae:88:5d:c5:ba:6d,1677512994.0196052,15,5540
ae:88:5d:c5:ba:6d,1677512994.0396135,30,5540
ae:88:5d:c5:ba:6d,1677512994.0597708,24,5560
ae:88:5d:c5:ba:6d,1677512994.1037214,12,5560
ae:88:5d:c5:ba:6d,1677512994.1238146,18,5560
ae:88:5d:c5:ba:6d,1677512994.1438928,18,5560
00:d0:2d:e3:92:c3,1677513009.5283961,81,2437
36:7a:a2:b0:14:82,1677513011.778363,12,5540
36:7a:a2:b0:14:82,1677513011.798458,12,5540
36:7a:a2:b0:14:82,1677513011.7984822,15,5540
06:95:a9:38:a4:a9,1677513021.7474113,68,2412
00:d0:2d:e3:92:c3,1677513035.1864774,86,2412
5a:8b:56:73:ad:8d,1677513038.6156385,12,5580
00:d0:2d:e3:92:c3,1677513043.2524245,81,2412
00:d0:2d:e3:92:c3,1677513051.28899,81,2412
0e:eb:26:d8:25:2d,1677513055.3723757,15,5260
0e:eb:26:d8:25:2d,1677513055.392671,15,5260
48:d6:d5:32:07:c0,1677513057.6375425,95,2412
48:d6:d5:32:07:c0,1677513057.6385813,81,2412
06:af:52:27:fe:87,1677513093.1865182,77,2412
76:f8:1c:26:2d:26,1677513098.627706,100,2447
76:f8:1c:26:2d:26,1677513098.665241,86,2447
9e:b8:19:c5:8c:80,1677513098.6895409,86,2452
ea:36:7f:1e:f3:84,1677513102.676874,81,2412
ea:36:7f:1e:f3:84,1677513102.698898,77,2412
0a:44:7e:4c:3c:20,1677513104.042101,86,2412
ce:b3:22:43:c1:58,1677513107.3410435,86,2442
32:73:3a:f4:af:a2,1677513112.8273191,63,2412
72:b6:1c:52:05:2e,1677513113.0502405,72,2412
66:ca:21:3d:6d:ba,1677513113.187265,81,2412
66:ca:21:3d:6d:ba,1677513113.215082,77,2412
00:0e:8e:5e:4a:08,1677513116.8335595,18,2467
32:2c:a3:ef:9b:76,1677513117.4613564,12,5240
00:0e:8e:5e:4a:08,1677513119.0837994,27,5680
00:0e:8e:5e:4a:08,1677513119.0838304,27,5680
00:0e:8e:5e:4a:08,1677513119.2338598,27,5700
00:0e:8e:5e:4a:08,1677513119.2338908,33,5700
8e:4c:4e:d8:dc:79,1677513120.1916356,81,2412
da:a1:19:97:90:d0,1677513125.6069098,72,2462
da:a1:19:97:90:d0,1677513125.6079028,72,2462
da:a1:19:97:90:d0,1677513125.6468127,77,2462
da:a1:19:97:90:d0,1677513125.66634,81,2462
da:a1:19:97:90:d0,1677513125.746497,86,2467
da:a1:19:97:90:d0,1677513125.7475169,86,2467
2e:dd:ee:09:64:3c,1677513126.8882415,27,5500
c2:df:88:4a:fa:d6,1677513126.9459102,12,5500
22:a7:ad:1b:dd:cd,1677513128.3625784,63,2412
22:a7:ad:1b:dd:cd,1677513128.3829226,72,2412
c0:d0:12:9d:47:53,1677513129.0708787,77,2412
42:45:35:cb:6f:b1,1677513131.1005359,81,2412
42:45:35:cb:6f:b1,1677513131.1323485,77,2412
00:0e:8e:5e:4a:08,1677513133.0423949,12,2412
3e:26:c1:01:a2:91,1677513136.5924652,18,5620
00:0e:8e:5e:4a:08,1677513141.426405,12,2412
5e:0f:87:3c:34:93,1677513146.079476,81,2412
fa:00:46:f0:66:bd,1677513152.9206529,15,5220
fa:00:46:f0:66:bd,1677513152.9639404,18,5240
fa:00:46:f0:66:bd,1677513152.9842737,15,5240
fa:00:46:f0:66:bd,1677513153.0581362,18,5260
66:d6:da:de:a7:4d,1677513153.33769,18,5300
