MAC,Timestamp,Signal Quality,Channel Frequency
ee:83:a9:4b:a2:f8,1677968006.6999984,9,5700
ee:83:a9:4b:a2:f8,1677968006.7000225,12,5700
00:d0:2d:e3:92:c3,1677968046.1326134,90,2422
b6:d0:d8:77:68:69,1677968054.3961804,95,2422
da:a1:19:cf:03:33,1677968063.9071703,86,2422
00:d0:2d:e3:92:c3,1677968071.9867885,86,2422
00:23:15:ea:58:3f,1677968083.0571895,86,2417
00:23:15:ea:58:3f,1677968087.6118124,95,2422
00:23:15:ea:58:3f,1677968093.1576014,77,2467
c2:18:9c:64:0e:a8,1677968122.8370874,100,2422
fe:03:2f:4c:6e:33,1677968127.1395786,77,2422
b2:34:b6:d3:55:14,1677968127.9605565,68,2437
b2:34:b6:d3:55:14,1677968128.0158274,72,2442
ee:5d:14:11:89:6e,1677968132.2488334,77,2422
ee:5d:14:11:89:6e,1677968132.2715034,72,2422
fa:5c:ed:ee:3f:93,1677968133.4982634,100,2422
fa:5c:ed:ee:3f:93,1677968133.4982984,100,2422
fa:5c:ed:ee:3f:93,1677968133.4996483,100,2422
fa:5c:ed:ee:3f:93,1677968133.5488334,100,2422
fa:5c:ed:ee:3f:93,1677968133.5488875,100,2422
fa:5c:ed:ee:3f:93,1677968133.5502903,100,2422
fa:5c:ed:ee:3f:93,1677968133.5770144,100,2422
fa:5c:ed:ee:3f:93,1677968133.5770433,100,2422
fa:5c:ed:ee:3f:93,1677968133.5784204,100,2422
fa:5c:ed:ee:3f:93,1677968133.6073203,100,2422
fa:5c:ed:ee:3f:93,1677968133.6073453,100,2422
fa:5c:ed:ee:3f:93,1677968133.6087725,100,2422
fa:5c:ed:ee:3f:93,1677968133.6327553,100,2422
fa:5c:ed:ee:3f:93,1677968133.6327863,100,2422
fa:5c:ed:ee:3f:93,1677968133.6341596,100,2422
e6:bb:50:81:cc:22,1677968146.7462845,66,5200
d2:f1:33:ed:84:b7,1677968147.0047972,69,5240
6e:f4:6b:7f:69:cd,1677968148.0765884,18,5580
6e:f4:6b:7f:69:cd,1677968148.0778584,15,5580
6e:f4:6b:7f:69:cd,1677968148.0778854,15,5580
6e:f4:6b:7f:69:cd,1677968148.0791805,18,5580
6e:f4:6b:7f:69:cd,1677968148.0952435,18,5580
6e:f4:6b:7f:69:cd,1677968148.0952973,18,5580
6e:f4:6b:7f:69:cd,1677968148.0965133,18,5580
6e:f4:6b:7f:69:cd,1677968148.0965664,18,5580
6e:f4:6b:7f:69:cd,1677968148.0978103,18,5580
6e:f4:6b:7f:69:cd,1677968148.1153474,15,5580
6e:f4:6b:7f:69:cd,1677968148.1153734,15,5580
6e:f4:6b:7f:69:cd,1677968148.1166384,15,5580
6e:f4:6b:7f:69:cd,1677968148.1166914,15,5580
6e:f4:6b:7f:69:cd,1677968148.1180813,12,5580
6e:f4:6b:7f:69:cd,1677968148.1355743,21,5580
6e:f4:6b:7f:69:cd,1677968148.1356013,21,5580
6e:f4:6b:7f:69:cd,1677968148.1368694,27,5580
6e:f4:6b:7f:69:cd,1677968148.1369183,18,5580
6e:f4:6b:7f:69:cd,1677968148.1383173,21,5580
6e:f4:6b:7f:69:cd,1677968148.1558025,15,5580
6e:f4:6b:7f:69:cd,1677968148.1558304,18,5580
6e:f4:6b:7f:69:cd,1677968148.1570926,12,5580
6e:f4:6b:7f:69:cd,1677968148.1571205,21,5580
6e:f4:6b:7f:69:cd,1677968148.1583312,21,5580
6e:f4:6b:7f:69:cd,1677968148.1760843,21,5580
6e:f4:6b:7f:69:cd,1677968148.1761122,27,5580
6e:f4:6b:7f:69:cd,1677968148.1773794,27,5580
6e:f4:6b:7f:69:cd,1677968148.1774325,30,5580
6e:f4:6b:7f:69:cd,1677968148.1786714,27,5580
6e:f4:6b:7f:69:cd,1677968148.3529866,12,5620
6e:f4:6b:7f:69:cd,1677968148.3542545,15,5620
6e:f4:6b:7f:69:cd,1677968148.3542993,12,5620
6e:f4:6b:7f:69:cd,1677968148.3734324,15,5620
6e:f4:6b:7f:69:cd,1677968148.3734593,15,5620
6e:f4:6b:7f:69:cd,1677968148.3746343,15,5620
6e:f4:6b:7f:69:cd,1677968148.3924735,15,5620
6e:f4:6b:7f:69:cd,1677968148.3924963,15,5620
6e:f4:6b:7f:69:cd,1677968148.3938103,18,5620
6e:f4:6b:7f:69:cd,1677968148.3938334,18,5620
6e:f4:6b:7f:69:cd,1677968148.3950534,18,5620
ba:94:e7:8b:8a:65,1677968149.7092624,100,2422
ba:94:e7:8b:8a:65,1677968149.7092955,100,2422
ba:94:e7:8b:8a:65,1677968149.7106555,100,2422
ba:94:e7:8b:8a:65,1677968149.9300625,100,2422
ba:94:e7:8b:8a:65,1677968149.9300935,100,2422
ba:94:e7:8b:8a:65,1677968149.9315193,100,2422
ba:94:e7:8b:8a:65,1677968149.9315712,100,2422
ba:94:e7:8b:8a:65,1677968149.9329424,100,2422
ba:94:e7:8b:8a:65,1677968149.9608245,100,2422
ba:94:e7:8b:8a:65,1677968149.9608512,100,2422
ba:94:e7:8b:8a:65,1677968149.9622684,100,2422
02:fe:f6:02:e1:94,1677968154.0017352,100,2412
ae:83:54:9e:80:d5,1677968154.1347373,100,2417
9e:7a:3f:e6:a7:14,1677968154.2147324,100,2422
9e:fc:97:63:0c:f4,1677968154.2428515,100,2422
00:d0:2d:e3:92:c3,1677968214.1161053,90,2422
00:d0:2d:e3:92:c3,1677968214.1352644,95,2422
00:d0:2d:e3:92:c3,1677968248.0569534,86,2422
00:d0:2d:e3:92:c3,1677968256.1386092,86,2422
ce:90:f2:da:6f:bb,1677968305.1887903,86,2417
ce:90:f2:da:6f:bb,1677968305.3324823,81,2422
ce:90:f2:da:6f:bb,1677968305.4517274,68,2427
ce:90:f2:da:6f:bb,1677968305.5286562,81,2432
ce:90:f2:da:6f:bb,1677968305.6832433,81,2437
f2:56:de:3e:e3:d0,1677968311.1064272,81,2422
f2:56:de:3e:e3:d0,1677968311.1616423,81,2422
8e:06:4d:57:f4:2c,1677968315.6578774,39,5200
ae:2a:1b:c8:fd:c3,1677968322.6743584,68,2422
ba:a4:e6:d1:4a:96,1677968324.2174053,100,2467
ee:67:30:3a:3b:69,1677968335.7246473,86,2422
