Bin start,Bin end,Number of unique MAC addresses
1677522198.8355286,1677522215.6867259,0
1677522215.6867259,1677522395.6867259,34
1677522395.6867259,1677522397.3103797,0
1677522397.3103797,1677522577.3103797,44
1677522577.3103797,1677522584.967445,0
1677522584.967445,1677522764.967445,38
1677522764.967445,1677522771.9628448,0
1677522771.9628448,1677522951.9628448,17
1677522951.9628448,1677522954.6393824,0
1677522954.6393824,1677523134.6393824,53
1677523134.6393824,1677523134.8259618,0
1677523134.8259618,1677523314.8259618,26
1677523314.8259618,1677523319.8994672,0
1677523319.8994672,1677523499.8994672,14
1677523499.8994672,1677523517.1086593,0
1677523517.1086593,1677523697.1086593,17
1677523697.1086593,1677523697.6804345,0
1677523697.6804345,1677523877.6804345,21
1677523877.6804345,1677523878.5617218,0
1677523878.5617218,1677524058.5617218,29
1677524058.5617218,1677524062.671307,0
1677524062.671307,1677524242.671307,33
1677524242.671307,1677524242.7537029,0
1677524242.7537029,1677524422.7537029,11
1677524422.7537029,1677524434.2935822,0
1677524434.2935822,1677524614.2935822,53
1677524614.2935822,1677524642.27696,0
1677524642.27696,1677524822.27696,11
1677524822.27696,1677524825.2183268,0
1677524825.2183268,1677525005.2183268,14
1677525005.2183268,1677525012.4978364,0
1677525012.4978364,1677525192.4978364,8
1677525192.4978364,1677525205.573036,0
1677525205.573036,1677525385.573036,59
1677525385.573036,1677525401.9164598,0
1677525401.9164598,1677525581.9164598,20
1677525581.9164598,1677525591.6675541,0
1677525591.6675541,1677525771.6675541,20
1677525771.6675541,1677525775.149417,0
1677525775.149417,1677525955.149417,29
1677525955.149417,1677525956.771603,0
1677525956.771603,1677526136.771603,43
1677526136.771603,1677526138.35934,0
1677526138.35934,1677526318.35934,24
1677526318.35934,1677526334.0448582,0
1677526334.0448582,1677526514.0448582,31
1677526514.0448582,1677526516.8175824,0
1677526516.8175824,1677526696.8175824,25
1677526696.8175824,1677526708.508383,0
1677526708.508383,1677526888.508383,18
1677526888.508383,1677526892.3615978,0
1677526892.3615978,1677527072.3615978,17
1677527072.3615978,1677527078.44605,0
1677527078.44605,1677527258.44605,11
1677527258.44605,1677527260.749419,0
1677527260.749419,1677527440.749419,35
1677527440.749419,1677527444.2877378,0
1677527444.2877378,1677527624.2877378,15
1677527624.2877378,1677527624.3939667,0
1677527624.3939667,1677527804.3939667,26
1677527804.3939667,1677527807.0128438,0
1677527807.0128438,1677527987.0128438,23
1677527987.0128438,1677527994.3314545,0
1677527994.3314545,1677528174.3314545,19
1677528174.3314545,1677528177.6807475,0
1677528177.6807475,1677528357.6807475,15
1677528357.6807475,1677528367.5135455,0
1677528367.5135455,1677528547.5135455,11
1677528547.5135455,1677528547.5271716,0
1677528547.5271716,1677528727.5271716,24
1677528727.5271716,1677528739.0870795,0
1677528739.0870795,1677528919.0870795,16
1677528919.0870795,1677528934.0841107,0
1677528934.0841107,1677529114.0841107,29
1677529114.0841107,1677529120.177417,0
1677529120.177417,1677529300.177417,15
1677529300.177417,1677529307.8958707,0
1677529307.8958707,1677529487.8958707,25
1677529487.8958707,1677529489.5710895,0
1677529489.5710895,1677529669.5710895,22
1677529669.5710895,1677529674.207057,0
1677529674.207057,1677529854.207057,11
1677529854.207057,1677529858.3183985,0
1677529858.3183985,1677530038.3183985,9
1677530038.3183985,1677530044.1407092,0
1677530044.1407092,1677530224.1407092,10
1677530224.1407092,1677530260.6622381,0
1677530260.6622381,1677530440.6622381,9
1677530440.6622381,1677530444.611257,0
