Bin start,Bin end,Number of unique MAC addresses
1677685700.8349373,1677685715.3464503,0
1677685715.3464503,1677685895.3464503,60
1677685895.3464503,1677685895.6743085,0
1677685895.6743085,1677686075.6743085,36
1677686075.6743085,1677686081.4739873,0
1677686081.4739873,1677686261.4739873,50
1677686261.4739873,1677686266.9780734,0
1677686266.9780734,1677686446.9780734,77
1677686446.9780734,1677686453.7778203,0
1677686453.7778203,1677686633.7778203,102
1677686633.7778203,1677686636.5384853,0
1677686636.5384853,1677686816.5384853,97
1677686816.5384853,1677686817.0391552,0
1677686817.0391552,1677686997.0391552,45
1677686997.0391552,1677687003.0783684,0
1677687003.0783684,1677687183.0783684,31
1677687183.0783684,1677687208.9120455,0
1677687208.9120455,1677687388.9120455,62
1677687388.9120455,1677687389.1353314,0
1677687389.1353314,1677687569.1353314,116
1677687569.1353314,1677687569.6465514,0
1677687569.6465514,1677687749.6465514,32
1677687749.6465514,1677687749.7590463,0
1677687749.7590463,1677687929.7590463,26
1677687929.7590463,1677687932.3121104,0
1677687932.3121104,1677688112.3121104,42
1677688112.3121104,1677688120.2890942,0
1677688120.2890942,1677688300.2890942,49
1677688300.2890942,1677688302.4586093,0
1677688302.4586093,1677688482.4586093,92
1677688482.4586093,1677688483.7503803,0
1677688483.7503803,1677688663.7503803,65
1677688663.7503803,1677688663.8551693,0
1677688663.8551693,1677688843.8551693,64
1677688843.8551693,1677688849.6073363,0
1677688849.6073363,1677689029.6073363,40
1677689029.6073363,1677689030.6166215,0
1677689030.6166215,1677689210.6166215,98
1677689210.6166215,1677689217.1962495,0
1677689217.1962495,1677689397.1962495,77
1677689397.1962495,1677689398.1499224,0
1677689398.1499224,1677689578.1499224,40
1677689578.1499224,1677689581.7168102,0
1677689581.7168102,1677689761.7168102,56
1677689761.7168102,1677689769.1019995,0
1677689769.1019995,1677689949.1019995,42
1677689949.1019995,1677689950.7319334,0
1677689950.7319334,1677690130.7319334,35
1677690130.7319334,1677690137.9300332,0
1677690137.9300332,1677690317.9300332,80
1677690317.9300332,1677690319.1196673,0
1677690319.1196673,1677690499.1196673,45
1677690499.1196673,1677690506.4253192,0
1677690506.4253192,1677690686.4253192,46
1677690686.4253192,1677690686.6475704,0
1677690686.6475704,1677690866.6475704,51
1677690866.6475704,1677690873.0448503,0
1677690873.0448503,1677691053.0448503,79
1677691053.0448503,1677691053.6377172,0
1677691053.6377172,1677691233.6377172,38
1677691233.6377172,1677691235.2306232,0
1677691235.2306232,1677691415.2306232,64
1677691415.2306232,1677691423.4716184,0
1677691423.4716184,1677691603.4716184,29
1677691603.4716184,1677691621.0807784,0
1677691621.0807784,1677691801.0807784,30
1677691801.0807784,1677691811.7595804,0
1677691811.7595804,1677691991.7595804,88
1677691991.7595804,1677692008.7972095,0
1677692008.7972095,1677692188.7972095,16
1677692188.7972095,1677692195.0173752,0
1677692195.0173752,1677692375.0173752,36
1677692375.0173752,1677692389.9594033,0
1677692389.9594033,1677692569.9594033,28
1677692569.9594033,1677692570.8372095,0
1677692570.8372095,1677692750.8372095,68
1677692750.8372095,1677692777.3558152,0
1677692777.3558152,1677692957.3558152,24
1677692957.3558152,1677692961.9961882,0
1677692961.9961882,1677693141.9961882,15
1677693141.9961882,1677693149.0101402,0
1677693149.0101402,1677693329.0101402,28
1677693329.0101402,1677693341.2225373,0
1677693341.2225373,1677693521.2225373,29
1677693521.2225373,1677693521.8139544,0
1677693521.8139544,1677693701.8139544,76
1677693701.8139544,1677693701.8564353,0
1677693701.8564353,1677693881.8564353,40
1677693881.8564353,1677693895.6479664,0
1677693895.6479664,1677694075.6479664,33
1677694075.6479664,1677694121.1050742,0
1677694121.1050742,1677694301.1050742,23
1677694301.1050742,1677694301.3453665,0
1677694301.3453665,1677694481.3453665,20
1677694481.3453665,1677694496.2351995,0
1677694496.2351995,1677694676.2351995,14
1677694676.2351995,1677694679.5993943,0
1677694679.5993943,1677694859.5993943,11
1677694859.5993943,1677694890.8334744,0
1677694890.8334744,1677695070.8334744,24
1677695070.8334744,1677695074.9207504,0
1677695074.9207504,1677695254.9207504,15
1677695254.9207504,1677695255.6394506,0
1677695255.6394506,1677695435.6394506,24
1677695435.6394506,1677695452.4599063,0
1677695452.4599063,1677695632.4599063,25
1677695632.4599063,1677695642.1938143,0
1677695642.1938143,1677695822.1938143,31
1677695822.1938143,1677695822.8720844,0
1677695822.8720844,1677696002.8720844,18
1677696002.8720844,1677696007.0150025,0
1677696007.0150025,1677696187.0150025,17
1677696187.0150025,1677696187.3828013,0
1677696187.3828013,1677696367.3828013,19
1677696367.3828013,1677696368.8766682,0
1677696368.8766682,1677696548.8766682,17
1677696548.8766682,1677696587.1834984,0
1677696587.1834984,1677696767.1834984,8
1677696767.1834984,1677696768.2943633,0
1677696768.2943633,1677696948.2943633,6
1677696948.2943633,1677696951.4716053,0
1677696951.4716053,1677697131.4716053,22
1677697131.4716053,1677697135.1961403,0
1677697135.1961403,1677697315.1961403,69
1677697315.1961403,1677697322.5418653,0
1677697322.5418653,1677697502.5418653,9
1677697502.5418653,1677697515.9649854,0
1677697515.9649854,1677697695.9649854,31
1677697695.9649854,1677697697.2574823,0
1677697697.2574823,1677697877.2574823,11
1677697877.2574823,1677697880.9050605,0
1677697880.9050605,1677698060.9050605,23
1677698060.9050605,1677698066.8106375,0
1677698066.8106375,1677698246.8106375,11
1677698246.8106375,1677698315.2501473,0
1677698315.2501473,1677698495.2501473,23
1677698495.2501473,1677698498.4562144,0
1677698498.4562144,1677698678.4562144,19
1677698678.4562144,1677698678.9176574,0
1677698678.9176574,1677698858.9176574,25
1677698858.9176574,1677698862.6114595,0
1677698862.6114595,1677699042.6114595,18
1677699042.6114595,1677699045.8582084,0
1677699045.8582084,1677699225.8582084,23
1677699225.8582084,1677699246.5756745,0
1677699246.5756745,1677699426.5756745,44
1677699426.5756745,1677699432.7136853,0
1677699432.7136853,1677699612.7136853,19
1677699612.7136853,1677699619.0566163,0
1677699619.0566163,1677699799.0566163,13
1677699799.0566163,1677699807.7437193,0
1677699807.7437193,1677699987.7437193,10
1677699987.7437193,1677699998.1121974,0
1677699998.1121974,1677700178.1121974,26
1677700178.1121974,1677700182.8649871,0
1677700182.8649871,1677700362.8649871,20
1677700362.8649871,1677700367.4481285,0
1677700367.4481285,1677700547.4481285,19
1677700547.4481285,1677700550.3461044,0
1677700550.3461044,1677700730.3461044,13
1677700730.3461044,1677700736.9536695,0
1677700736.9536695,1677700916.9536695,13
1677700916.9536695,1677700958.4625723,0
1677700958.4625723,1677701138.4625723,29
1677701138.4625723,1677701148.1807353,0
1677701148.1807353,1677701328.1807353,22
1677701328.1807353,1677701328.7863374,0
1677701328.7863374,1677701508.7863374,14
1677701508.7863374,1677701509.1091864,0
1677701509.1091864,1677701689.1091864,13
1677701689.1091864,1677701715.7821443,0
1677701715.7821443,1677701895.7821443,25
1677701895.7821443,1677701899.5823593,0
1677701899.5823593,1677702079.5823593,13
