Bin start,Bin end,Number of unique MAC addresses
1677612265.227679,1677612281.8378973,0
1677612281.8378973,1677612461.8378973,18
1677612461.8378973,1677612464.5004501,0
1677612464.5004501,1677612644.5004501,33
1677612644.5004501,1677612651.1182203,0
1677612651.1182203,1677612831.1182203,30
1677612831.1182203,1677612831.1236606,0
1677612831.1236606,1677613011.1236606,53
1677613011.1236606,1677613011.5404353,0
1677613011.5404353,1677613191.5404353,39
1677613191.5404353,1677613192.528594,0
1677613192.528594,1677613372.528594,26
1677613372.528594,1677613372.813482,0
1677613372.813482,1677613552.813482,17
1677613552.813482,1677613560.8094137,0
1677613560.8094137,1677613740.8094137,33
1677613740.8094137,1677613744.4589508,0
1677613744.4589508,1677613924.4589508,46
1677613924.4589508,1677613926.6614428,0
1677613926.6614428,1677614106.6614428,19
1677614106.6614428,1677614111.6118972,0
1677614111.6118972,1677614291.6118972,35
1677614291.6118972,1677614291.9441152,0
1677614291.9441152,1677614471.9441152,31
1677614471.9441152,1677614472.8214688,0
1677614472.8214688,1677614652.8214688,39
1677614652.8214688,1677614653.2690825,0
1677614653.2690825,1677614833.2690825,35
1677614833.2690825,1677614836.6131787,0
1677614836.6131787,1677615016.6131787,34
1677615016.6131787,1677615020.1410625,0
1677615020.1410625,1677615200.1410625,21
1677615200.1410625,1677615204.566015,0
1677615204.566015,1677615384.566015,12
1677615384.566015,1677615388.0247042,0
1677615388.0247042,1677615568.0247042,40
1677615568.0247042,1677615574.5405793,0
1677615574.5405793,1677615754.5405793,12
1677615754.5405793,1677615764.6694608,0
1677615764.6694608,1677615944.6694608,22
1677615944.6694608,1677615947.6006577,0
1677615947.6006577,1677616127.6006577,24
1677616127.6006577,1677616128.5737197,0
1677616128.5737197,1677616308.5737197,17
1677616308.5737197,1677616314.3773098,0
1677616314.3773098,1677616494.3773098,22
1677616494.3773098,1677616498.4982753,0
1677616498.4982753,1677616678.4982753,23
1677616678.4982753,1677616687.6634278,0
1677616687.6634278,1677616867.6634278,23
1677616867.6634278,1677616868.166222,0
1677616868.166222,1677617048.166222,9
1677617048.166222,1677617052.0047143,0
1677617052.0047143,1677617232.0047143,40
1677617232.0047143,1677617235.9835567,0
1677617235.9835567,1677617415.9835567,16
1677617415.9835567,1677617420.002261,0
1677617420.002261,1677617600.002261,26
1677617600.002261,1677617601.797072,0
1677617601.797072,1677617781.797072,29
1677617781.797072,1677617782.0595005,0
1677617782.0595005,1677617962.0595005,30
1677617962.0595005,1677617965.8708253,0
1677617965.8708253,1677618145.8708253,32
1677618145.8708253,1677618154.9789433,0
1677618154.9789433,1677618334.9789433,44
1677618334.9789433,1677618337.8099897,0
1677618337.8099897,1677618517.8099897,42
1677618517.8099897,1677618528.73669,0
1677618528.73669,1677618708.73669,14
1677618708.73669,1677618716.3347368,0
1677618716.3347368,1677618896.3347368,13
1677618896.3347368,1677618900.4486668,0
1677618900.4486668,1677619080.4486668,13
1677619080.4486668,1677619086.0160327,0
1677619086.0160327,1677619266.0160327,31
1677619266.0160327,1677619269.5751824,0
1677619269.5751824,1677619449.5751824,15
1677619449.5751824,1677619453.3324387,0
1677619453.3324387,1677619633.3324387,24
1677619633.3324387,1677619639.7542562,0
1677619639.7542562,1677619819.7542562,67
1677619819.7542562,1677619824.4328048,0
1677619824.4328048,1677620004.4328048,37
1677620004.4328048,1677620010.2149832,0
1677620010.2149832,1677620190.2149832,49
1677620190.2149832,1677620196.9285722,0
1677620196.9285722,1677620376.9285722,23
1677620376.9285722,1677620388.0172954,0
1677620388.0172954,1677620568.0172954,41
1677620568.0172954,1677620578.377703,0
1677620578.377703,1677620758.377703,35
1677620758.377703,1677620758.565442,0
1677620758.565442,1677620938.565442,28
1677620938.565442,1677620951.4067392,0
1677620951.4067392,1677621131.4067392,35
1677621131.4067392,1677621133.2317755,0
