Bin start,Bin end,Number of unique MAC addresses
1677967344.4316635,1677967404.4316635,4
1677967404.4316635,1677967464.4316635,0
1677967416.0976822,1677967476.0976822,6
1677967476.0976822,1677967536.0976822,0
1677967484.1109302,1677967544.1109302,5
1677967544.1109302,1677967604.1109302,0
1677967550.2151532,1677967610.2151532,3
1677967610.2151532,1677967670.2151532,0
1677967618.2143683,1677967678.2143683,7
1677967678.2143683,1677967738.2143683,0
1677967680.9033763,1677967740.9033763,5
1677967740.9033763,1677967800.9033763,0
1677967777.9847815,1677967837.9847815,1
1677967837.9847815,1677967897.9847815,0
1677967874.0062394,1677967934.0062394,4
1677967934.0062394,1677967994.0062394,0
1677967994.0062394,1677968054.0062394,0
1677968006.6999664,1677968066.6999664,4
1677968066.6999664,1677968126.6999664,0
1677968071.9867885,1677968131.9867885,5
1677968131.9867885,1677968191.9867885,0
1677968132.2488334,1677968192.2488334,10
1677968192.2488334,1677968252.2488334,0
1677968214.1161053,1677968274.1161053,1
1677968274.1161053,1677968334.1161053,0
1677968305.1887903,1677968365.1887903,8
1677968365.1887903,1677968425.1887903,0
1677968374.0578585,1677968434.0578585,2
1677968434.0578585,1677968494.0578585,0
1677968455.0789983,1677968515.0789983,2
1677968515.0789983,1677968575.0789983,0
1677968516.1834643,1677968576.1834643,2
1677968576.1834643,1677968636.1834643,0
1677968591.2483234,1677968651.2483234,5
1677968651.2483234,1677968711.2483234,0
1677968676.1411774,1677968736.1411774,2
1677968736.1411774,1677968796.1411774,0
1677968768.5983784,1677968828.5983784,4
1677968828.5983784,1677968888.5983784,0
1677968852.2137704,1677968912.2137704,1
1677968912.2137704,1677968972.2137704,0
1677968928.5263693,1677968988.5263693,4
1677968988.5263693,1677969048.5263693,0
1677968996.0050364,1677969056.0050364,4
1677969056.0050364,1677969116.0050364,0
1677969074.4105635,1677969134.4105635,4
1677969134.4105635,1677969194.4105635,0
1677969138.1317494,1677969198.1317494,2
1677969198.1317494,1677969258.1317494,0
1677969230.5411544,1677969290.5411544,1
1677969290.5411544,1677969350.5411544,0
1677969298.0951333,1677969358.0951333,2
1677969358.0951333,1677969418.0951333,0
1677969388.1638844,1677969448.1638844,3
1677969448.1638844,1677969508.1638844,0
1677969466.0758033,1677969526.0758033,1
1677969526.0758033,1677969586.0758033,0
1677969565.2555723,1677969625.2555723,3
1677969625.2555723,1677969685.2555723,0
